,A,AG,AL,AU,B,BU,C,CF,CS,CU,CY,FG,FU,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,RB,RM,RU,SN,SR,TA,V,Y,ZC,ZN
2013-01-04,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1302,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1305,,ZN1303
2013-01-07,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1302,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1305,,ZN1303
2013-01-08,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1302,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1305,,ZN1304
2013-01-09,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1302,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1305,,ZN1304
2013-01-10,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1302,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1305,,ZN1304
2013-01-11,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1302,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1305,,ZN1304
2013-01-14,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1302,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1305,,ZN1304
2013-01-15,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1302,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1305,,ZN1304
2013-01-16,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1302,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1305,,ZN1304
2013-01-17,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1303,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1305,,ZN1304
2013-01-18,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1303,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1305,,ZN1304
2013-01-21,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1303,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1305,,ZN1304
2013-01-22,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1303,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1305,,ZN1304
2013-01-23,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1303,,RB1305,RM1305,RU1305,,SR1305,TA1305,V1305,Y1309,,ZN1304
2013-01-24,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1303,,RB1305,RM1305,RU1305,,SR1309,TA1305,V1305,Y1309,,ZN1304
2013-01-25,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1304,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1303,,RB1305,RM1305,RU1305,,SR1309,TA1305,V1305,Y1309,,ZN1304
2013-01-28,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1305,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1303,,RB1305,RM1305,RU1305,,SR1309,TA1305,V1305,Y1309,,ZN1304
2013-01-29,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1305,,FG1305,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1303,,RB1305,RM1305,RU1305,,SR1309,TA1305,V1305,Y1309,,ZN1304
2013-01-30,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1305,,CU1305,,FG1309,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1303,,RB1305,RM1305,RU1305,,SR1309,TA1305,V1305,Y1309,,ZN1305
2013-01-31,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1309,,CU1305,,FG1309,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1303,,RB1305,RM1305,RU1305,,SR1309,TA1305,V1305,Y1309,,ZN1305
2013-02-01,A1305,AG1306,AL1303,AU1306,B1305,,C1305,CF1309,,CU1305,,FG1309,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1303,,RB1305,RM1305,RU1305,,SR1309,TA1305,V1305,Y1309,,ZN1305
2013-02-04,A1309,AG1306,AL1303,AU1306,B1305,,C1305,CF1309,,CU1305,,FG1309,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1303,,RB1305,RM1305,RU1305,,SR1309,TA1305,V1305,Y1309,,ZN1305
2013-02-05,A1309,AG1306,AL1305,AU1306,B1305,,C1305,CF1309,,CU1305,,FG1309,,,,J1305,,L1305,M1305,,,OI1309,P1305,PB1304,,RB1305,RM1305,RU1305,,SR1309,TA1305,V1305,Y1309,,ZN1305
