,A,AG,AL,AU,B,BU,C,CF,CS,CU,CY,FG,FU,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,RB,RM,RU,SN,SR,TA,V,Y,ZC,ZN
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,4741.0,6393.0,15295.0,338.78,4673.0,,2444.0,19170.0,,58270.0,,1448.0,,,,1831.0,,11035.0,3253.0,,,9938.0,6978.0,15190.0,,4015.0,2438.0,26245.0,,5648.0,8676.0,6720.0,8710.0,,15445.0
2013-01-08,4729.0,6382.0,15260.0,336.63,4661.0,,2451.0,19250.0,,58320.0,,1450.0,,,,1822.0,,10860.0,3279.0,,,9866.0,6886.0,15150.0,,3998.0,2478.0,26100.0,,5691.0,8684.0,6695.0,8680.0,,15465.0
2013-01-09,4743.0,6420.0,15255.0,338.91,4653.0,,2452.0,19295.0,,58260.0,,1461.0,,,,1816.0,,10715.0,3299.0,,,9870.0,6828.0,15110.0,,3990.0,2498.0,26110.0,,5659.0,8598.0,6690.0,8618.0,,15430.0
2013-01-10,4744.0,6403.0,15255.0,338.12,4640.0,,2443.0,19260.0,,58500.0,,1468.0,,,,1810.0,,10730.0,3273.0,,,10004.0,6810.0,15155.0,,4012.0,2474.0,26165.0,,5664.0,8570.0,6710.0,8622.0,,15465.0
2013-01-11,4764.0,6489.0,15275.0,341.45,4659.0,,2442.0,19300.0,,58660.0,,1444.0,,,,1787.0,,10660.0,3261.0,,,9974.0,6704.0,15180.0,,3966.0,2508.0,26160.0,,5611.0,8514.0,6675.0,8542.0,,15530.0
2013-01-14,4797.0,6457.0,15240.0,339.85,4660.0,,2434.0,19380.0,,58480.0,,1468.0,,,,1810.0,,10640.0,3338.0,,,10002.0,6702.0,15105.0,,3972.0,2528.0,25805.0,,5581.0,8504.0,6655.0,8550.0,,15415.0
2013-01-15,4800.0,6551.0,15160.0,340.9,4669.0,,2434.0,19435.0,,58030.0,,1505.0,,,,1815.0,,10685.0,3377.0,,,10026.0,6750.0,15005.0,,3988.0,2584.0,25745.0,,5546.0,8440.0,6660.0,8620.0,,15280.0
2013-01-16,4807.0,6601.0,15155.0,343.16,4655.0,,2433.0,19495.0,,57990.0,,1490.0,,,,1792.0,,10665.0,3384.0,,,9990.0,6776.0,15015.0,,3935.0,2572.0,25475.0,,5554.0,8398.0,6615.0,8646.0,,15245.0
2013-01-17,4810.0,6580.0,15135.0,342.29,4649.0,,2428.0,19545.0,,57720.0,,1500.0,,,,1794.0,,10655.0,3408.0,,,9986.0,6750.0,15090.0,,3925.0,2584.0,25535.0,,5523.0,8410.0,6615.0,8652.0,,15240.0
2013-01-18,4805.0,6644.0,15175.0,344.16,4637.0,,2433.0,19570.0,,58270.0,,1503.0,,,,1834.0,,10735.0,3384.0,,,9976.0,6700.0,15175.0,,3970.0,2585.0,25870.0,,5527.0,8530.0,6665.0,8638.0,,15385.0
2013-01-21,4834.0,6677.0,15180.0,344.11,4627.0,,2430.0,19530.0,,58260.0,,1502.0,,,,1876.0,,10740.0,3392.0,,,10002.0,6748.0,15205.0,,3990.0,2576.0,25780.0,,5487.0,8530.0,6675.0,8706.0,,15385.0
2013-01-22,4835.0,6682.0,15165.0,344.73,4627.0,,2427.0,19485.0,,58560.0,,1494.0,,,,1862.0,,10735.0,3407.0,,,10026.0,6788.0,15215.0,,3968.0,2586.0,26065.0,,5453.0,8452.0,6665.0,8736.0,,15450.0
2013-01-23,4836.0,6692.0,15160.0,344.84,4627.0,,2426.0,19705.0,,58570.0,,1482.0,,,,1871.0,,10765.0,3429.0,,,10018.0,6824.0,15210.0,,4006.0,2590.0,26090.0,,5418.0,8444.0,6670.0,8842.0,,15505.0
2013-01-24,4817.0,6626.0,15125.0,341.98,4604.0,,2419.0,19725.0,,58420.0,,1473.0,,,,1861.0,,10685.0,3377.0,,,9922.0,6748.0,15210.0,,4036.0,2518.0,25730.0,,5442.0,8412.0,6690.0,8726.0,,15470.0
2013-01-25,4840.0,6554.0,15130.0,339.45,4604.0,,2418.0,19900.0,,58630.0,,1466.0,,,,1872.0,,10745.0,3386.0,,,9930.0,6736.0,15300.0,,4060.0,2508.0,25705.0,,5425.0,8540.0,6685.0,8738.0,,15580.0
2013-01-28,4847.0,6499.0,15085.0,338.19,4604.0,,2418.0,19825.0,,58590.0,,1484.0,,,,1868.0,,10835.0,3421.0,,,9918.0,6708.0,15265.0,,4069.0,2507.0,25585.0,,5339.0,8576.0,6695.0,8724.0,,15590.0
